Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2006-03-20,-0.0002109386,0.0018254398,0.0121042298,0.0012077053
2006-03-21,-0.003797443,0.0006625973,-0.018267835,-0.0060313629
2006-03-22,0.00952986,0.0253269161,0.0161982135,0.0206310189
2006-03-23,0.0020977553,-0.0059735067,-0.0009880714,-0.0002377646
2006-03-24,0.000837333,-0.0016241514,0.0032966309,0.0014271408
2006-03-27,-0.0035557665,0.0105742312,0.0185976345,0.000237601
2006-03-28,-0.000839618,-0.0009658403,-0.005419329,-0.0130610303
2006-03-29,0.0006302269,0.0135353043,0.0177736762,0.0028873676
2006-03-30,-0.0073483101,0.0114466928,-0.0005735883,-0.0035988724
2006-03-31,-0.0010575296,-0.0125746465,0.0009566291,0.0026486878
2006-04-03,0.0038111752,0.0068449538,0.0073903412,0.0069644814
2006-04-04,0.016874077,0.0161264348,0.0182140469,0.0081087527
2006-04-05,0.0010371292,0.0006223899,-0.001552795,0.0063875325
2006-04-06,-0.0084956609,0.0029544706,0.0080248398,-0.0058768217
2006-04-07,-0.0039707294,-0.0113178295,-0.0062946744,-0.0139512884
2006-04-10,0.0056650902,0.0065862004,0.0089430069,0.0043165467
2006-04-11,-0.0095972796,-0.0227450063,-0.0203743251,-0.0064469913
2006-04-12,0.0027385464,0.0055794994,0.0023249137,0.0069695024
2006-04-13,0.0094537815,-0.0015853202,-0.0005642615,0.0069211691
2006-04-17,0.0062434964,0.0100031915,0.0157436437,-0.0045034132
2006-04-18,0.0026887032,0.0319131892,0.0222922129,0.0142856667
2006-04-19,-0.0051567658,-0.0073125382,0.0090607066,0.0004695071
2006-04-20,0.0014514037,-0.0027624461,0.0089793473,-0.0004692867
2006-04-21,-0.0060041284,0.0007694059,-0.0157816906,-0.002347371
2006-04-24,-0.0002083024,0.0043056897,-0.0032551269,0.0042352941
2006-04-25,-0.0112499875,-0.0143928193,-0.0154218501,-0.0107778585
2006-04-26,0.006110396,0.000621423,0.0036854483,0.0104215772
2006-04-27,0.0083769634,0.008694255,0.0034884151,0.0302391233
2006-04-28,0.0373831776,-0.010312421,-0.0224431785,0.0325369731
2006-05-01,-0.0098097978,-0.0177294393,-0.0239565548,-0.0132217273
2006-05-02,0.002830558,0.0155161336,0.0152125602,0.0160786292
2006-05-03,0.0050403226,-0.0112254601,0.0020146823,-0.0008791429
2006-05-04,-0.0094283089,0.0059918167,-0.0069745589,0.005059393
2006-05-05,0.0200486518,0.0271159879,0.0401797411,0.0210112283
2006-05-08,-0.0041691601,-0.0019837785,-0.0052314618,-0.0117900102
2006-05-09,0.0037878668,0.0053516512,0.0135754969,-0.0017353146
2006-05-10,-0.0009930487,-0.008212943,-0.0100151071,-0.0021730117
2006-05-11,-0.0163022107,-0.014568272,-0.0293131642,-0.0167682063
2006-05-12,-0.0099029792,-0.015094942,-0.0199020468,-0.0183832107
2006-05-15,0.0106144357,-0.0192763625,-0.0190250591,0.0049639215
2006-05-16,0.0006059139,-0.0001610923,-0.002873201,-0.0049394027
2006-05-17,-0.0143318653,-0.0333548013,-0.0294039953,-0.0241425993
2006-05-18,-0.0020479214,-0.0021670444,-0.0079617296,-0.0117918613
2006-05-19,0.0014365114,0.0013364183,0.0161872068,0.0002339261
2006-05-22,0.0008196598,-0.0128461964,-0.0218192217,-0.0025731228
2006-05-23,-0.0063472687,-0.006760149,-0.0167635792,-0.0110225378
2006-05-24,0.0026787926,0.0056150757,0.0015309743,-0.000474176
2006-05-25,0.008425824,0.0113367517,0.0236242985,0.016607259
2006-05-26,0.0101895249,0.0133846411,0.038148213,0.0088681918
2006-05-30,-0.0110954203,-0.0241043256,-0.0203347715,-0.0182743697
2006-05-31,0.0057119297,0.0086279477,0.007475105,0.0047125355
2006-06-01,0.0107504828,0.0161020298,0.0172242865,0.022045099
2006-06-02,0.0062211641,0.000165038,0.0035167241,0.0052776271
2006-06-05,-0.0103709255,-0.0320184519,-0.0239470575,-0.0191737042
2006-06-06,0.0028214308,0.0042625744,-0.0077126931,-0.0137305093
2006-06-07,0.0038183159,0.0040746518,0.0047573839,-0.0030675082
2006-06-08,0.0,-0.0027054278,-0.0012671024,0.0023668166
2006-06-09,-0.0036035796,0.003560512,0.0008680823,-0.005903188
2006-06-12,-0.0088407151,-0.0167257648,-0.0326239178,-0.0118764851
2006-06-13,-0.0227042008,-0.0508590885,-0.0396551724,-0.025721131
2006-06-14,-0.008504472,0.006335952,-0.0053859964,-0.0138168767
2006-06-15,0.0184100167,0.0313006296,0.0405775812,0.0157617459
2006-06-16,-0.0065735047,-0.0059305772,-0.0008326048,-0.0108373897
2006-06-19,-0.0111662406,-0.0082470957,-0.0017361111,-0.0052290588
2006-06-20,0.0039732203,0.008846426,0.010504313,0.0135169208
2006-06-21,0.0074984502,0.0431427569,0.0314608781,0.0177820935
2006-06-22,-0.0041347942,0.0089105245,-0.0101448574,-0.0033972095
2006-06-23,-0.008926755,-0.0051657559,-0.0026296272,-0.0048697589
2006-06-26,0.011730218,0.0117253097,0.013385587,0.0154147545
2006-06-27,-0.0111801118,-0.0059602813,-0.0182787866,-0.0159036145
2006-06-28,0.0018844095,0.001665523,-0.0045528607,0.0105288932
2006-06-29,0.0211076405,0.0399069179,0.0389787139,0.0341652532
2006-06-30,-0.0124846621,0.0107131114,-0.0116294615,-0.0159325211
2006-07-03,0.0149223047,0.0128143967,0.0134281998,0.0207142619
2006-07-05,0.0008168144,-0.0057793661,-0.0098392918,-0.0107300912
2006-07-06,0.005305052,0.003456355,-0.0024511097,0.0009431974
